,amount_processor,time_max,speedup,efficiency
0,1,880.53,0.0,0.0
1,2,507.05,1.7365743023370475,0.8682871511685237
2,4,414.59,2.1238573048071587,0.5309643262017897
3,8,215.96,4.077282830153732,0.5096603537692165
4,12,162.28,5.4259921123983235,0.45216600936652696
5,16,153.04,5.753593831677993,0.35959961447987454
